state_fips,county_fips,bus.bank,bank,time,adopt,NAME.x,pop,NAME.y,unemployment,bank.rate,bus.bank.rate
42,42061,0,54,1,11,"Huntingdon County, Pennsylvania",44092,"Huntingdon County, Pennsylvania",5.377049180327869,1.2247119658895038,0
42,42067,0,19,1,11,"Juniata County, Pennsylvania",23509,"Juniata County, Pennsylvania",2.8327414172163032,0.8082011144668,0
42,42069,9,302,1,11,"Lackawanna County, Pennsylvania",215896,"Lackawanna County, Pennsylvania",4.235959189204887,1.3988216548708639,0.041686738059065476
42,42071,0,6,1,11,"Lancaster County, Pennsylvania",552984,"Lancaster County, Pennsylvania",3.61713889348577,0.0108502235146044,0
42,42075,4,199,1,11,"Lebanon County, Pennsylvania",143257,"Lebanon County, Pennsylvania",4.897803409380035,1.3891118758594694,0.027921846750944106
42,42077,0,1,1,11,"Lehigh County, Pennsylvania",374557,"Lehigh County, Pennsylvania",6.205591009916151,0.0026698206147528947,0
42,42079,22,498,1,11,"Luzerne County, Pennsylvania",325594,"Luzerne County, Pennsylvania",6.047516198704104,1.5295122145985491,0.06756881269310859
42,42081,6,100,1,11,"Lycoming County, Pennsylvania",114188,"Lycoming County, Pennsylvania",5.076562781480814,0.875748765194241,0.052544925911654466
42,42087,1,71,1,11,"Mifflin County, Pennsylvania",46143,"Mifflin County, Pennsylvania",3.5046625712644186,1.5386949266410939,0.021671759530156254
42,42089,7,627,1,11,"Monroe County, Pennsylvania",168327,"Monroe County, Pennsylvania",6.229243650311053,3.7248926197223264,0.041585723027203
42,42093,0,22,1,11,"Montour County, Pennsylvania",18136,"Montour County, Pennsylvania",1.7035775127768313,1.2130569033965595,0
42,42095,0,3,1,11,"Northampton County, Pennsylvania",312951,"Northampton County, Pennsylvania",4.576575210954474,0.009586165246316515,0
42,42097,3,105,1,11,"Northumberland County, Pennsylvania",91647,"Northumberland County, Pennsylvania",4.229321137366318,1.1457003502569643,0.032734295721627546
42,42099,3,70,1,11,"Perry County, Pennsylvania",45842,"Perry County, Pennsylvania",3.3754208754208754,1.5269839884821779,0.06544217093495049
42,42103,3,228,1,11,"Pike County, Pennsylvania",58535,"Pike County, Pennsylvania",7.833148763381321,3.8951054924404205,0.051251388058426585
42,42105,0,10,1,11,"Potter County, Pennsylvania",16396,"Potter County, Pennsylvania",6.769147788565264,0.6099048548426446,0
42,42107,8,195,1,11,"Schuylkill County, Pennsylvania",143049,"Schuylkill County, Pennsylvania",5.2008752474658015,1.3631692636788793,0.05592489286887709
42,42109,0,21,1,11,"Snyder County, Pennsylvania",39736,"Snyder County, Pennsylvania",2.457522777640975,0.5284880209381921,0
42,42113,2,2,1,11,"Sullivan County, Pennsylvania",5840,"Sullivan County, Pennsylvania",5.044612216884008,0.3424657534246575,0.3424657534246575
42,42115,1,39,1,11,"Susquehanna County, Pennsylvania",38434,"Susquehanna County, Pennsylvania",6.132573358665822,1.0147265442056512,0.026018629338606443
42,42117,3,25,1,11,"Tioga County, Pennsylvania",41045,"Tioga County, Pennsylvania",5.2121722649257665,0.6090875867949811,0.07309051041539773
42,42119,1,29,1,11,"Union County, Pennsylvania",42681,"Union County, Pennsylvania",2.8566737809883436,0.679459244160165,0.023429629108971207
42,42127,3,99,1,11,"Wayne County, Pennsylvania",51155,"Wayne County, Pennsylvania",5.110441315398804,1.9352946926009187,0.058645293715179354
42,42131,1,21,1,11,"Wyoming County, Pennsylvania",26069,"Wyoming County, Pennsylvania",4.917908753877582,0.8055544900072884,0.038359737619394686
42,42133,27,836,1,11,"York County, Pennsylvania",456438,"York County, Pennsylvania",4.628500799399291,1.831574058251066,0.05915370762294112
39,39099,1,0,1,0,"Mahoning County, Ohio",228614,"Mahoning County, Ohio",7.91960401979901,0,0.004374185307986387
42,42003,101,2358,1,11,"Allegheny County, Pennsylvania",1250578,"Allegheny County, Pennsylvania",4.857972420798872,1.8855281317918595,0.08076265534816701
42,42005,3,124,1,11,"Armstrong County, Pennsylvania",65558,"Armstrong County, Pennsylvania",5.491722849998418,1.8914548949022238,0.045761005521828
42,42007,22,341,1,11,"Beaver County, Pennsylvania",168215,"Beaver County, Pennsylvania",5.0552640658647725,2.0271676128763785,0.130785007282347
42,42009,3,76,1,11,"Bedford County, Pennsylvania",47577,"Bedford County, Pennsylvania",4.464131374243734,1.597410513483406,0.06305567816381866
42,42013,4,154,1,11,"Blair County, Pennsylvania",122822,"Blair County, Pennsylvania",4.677165620718236,1.253847030662259,0.03256745534187686
42,42019,17,266,1,11,"Butler County, Pennsylvania",193763,"Butler County, Pennsylvania",4.583995760466348,1.3728111146090842,0.08773604867802418
42,42021,11,265,1,11,"Cambria County, Pennsylvania",133472,"Cambria County, Pennsylvania",5.17809587217044,1.9854351474466554,0.08241428913929513
42,42031,3,52,1,11,"Clarion County, Pennsylvania",37241,"Clarion County, Pennsylvania",5.969508267124758,1.396310517977498,0.08055637603716334
42,42033,5,152,1,11,"Clearfield County, Pennsylvania",80562,"Clearfield County, Pennsylvania",7.390199240208806,1.886745612075172,0.06206400039720961
42,42039,4,187,1,11,"Crawford County, Pennsylvania",83938,"Crawford County, Pennsylvania",5.825632784250703,2.2278348304701088,0.047654220972622646
42,42047,0,33,1,11,"Elk County, Pennsylvania",30990,"Elk County, Pennsylvania",6.01119793268935,1.0648596321394,0
42,42049,8,497,1,11,"Erie County, Pennsylvania",270876,"Erie County, Pennsylvania",5.412508943028204,1.8347878734180956,0.02953380882765546
42,42051,6,336,1,11,"Fayette County, Pennsylvania",128804,"Fayette County, Pennsylvania",7.314644478574201,2.608614639296916,0.04658240427315922
42,42053,0,6,1,11,"Forest County, Pennsylvania",6973,"Forest County, Pennsylvania",5.35833891493637,0.860461781155887,0
42,42059,1,84,1,11,"Greene County, Pennsylvania",35954,"Greene County, Pennsylvania",4.922491161272776,2.3363186293597376,0.02781331701618735
42,42063,7,119,1,11,"Indiana County, Pennsylvania",83246,"Indiana County, Pennsylvania",7.208966199254507,1.4294981140234968,0.08408812435432333
42,42065,1,68,1,11,"Jefferson County, Pennsylvania",44492,"Jefferson County, Pennsylvania",4.526208205577457,1.5283646498246877,0.022475950732715994
42,42073,7,208,1,11,"Lawrence County, Pennsylvania",86070,"Lawrence County, Pennsylvania",6.367298578199052,2.41663762054142,0.08132915069129779
42,42083,2,40,1,11,"McKean County, Pennsylvania",40432,"McKean County, Pennsylvania",6.485799067401441,0.9893153937475266,0.049465769687376336
42,42085,1,241,1,11,"Mercer County, Pennsylvania",110652,"Mercer County, Pennsylvania",5.811481218993621,2.1779994939088314,0.009037342298376893
42,42091,0,1,1,11,"Montgomery County, Pennsylvania",856553,"Montgomery County, Pennsylvania",4.4832466071303,0.0011674700806605079,0
42,42095,0,1,1,11,"Northampton County, Pennsylvania",312951,"Northampton County, Pennsylvania",4.576575210954474,0.0031953884154388382,0
42,42111,6,115,1,11,"Somerset County, Pennsylvania",74129,"Somerset County, Pennsylvania",4.836464857341684,1.5513496742165682,0.08093998300260356
42,42121,3,101,1,11,"Venango County, Pennsylvania",50454,"Venango County, Pennsylvania",6.571787358727501,2.001823443136322,0.05946010227137591
42,42123,0,62,1,11,"Warren County, Pennsylvania",38587,"Warren County, Pennsylvania",4.380375915896782,1.606758752947884,0
42,42125,9,425,1,11,"Washington County, Pennsylvania",209349,"Washington County, Pennsylvania",5.398508605290766,2.030102842621651,0.042990413137870255
42,42129,29,789,1,11,"Westmoreland County, Pennsylvania",354663,"Westmoreland County, Pennsylvania",4.667918577502382,2.224647059321102,0.0817677626366438
42,42001,0,1,1,11,"Adams County, Pennsylvania",103852,"Adams County, Pennsylvania",3.851503759398496,0.009629087547663983,0
42,42101,0,1,1,11,"Philadelphia County, Pennsylvania",1603797,"Philadelphia County, Pennsylvania",8.789004353231446,6.235203083682037e-4,0
39,39061,0,1,1,0,"Hamilton County, Ohio",830639,"Hamilton County, Ohio",5.383129902889298,0.0012038924249884726,0
39,39169,0,1,1,0,"Wayne County, Ohio",116894,"Wayne County, Ohio",3.3449807729451635,0.00855475901243862,0
42,42045,8,0,1,11,"Delaware County, Pennsylvania",576830,"Delaware County, Pennsylvania",6.185421849122642,0,0.013868904183208223
39,39013,0,12,1,0,"Belmont County, Ohio",66497,"Belmont County, Ohio",5.608634688753384,0.18045926883919575,0
39,39029,0,1,1,0,"Columbiana County, Ohio",101877,"Columbiana County, Ohio",5.967171301629094,0.009815758218243568,0
39,39067,0,4,1,0,"Harrison County, Ohio",14483,"Harrison County, Ohio",5.93671679197995,0.2761858730925913,0
39,39081,0,17,1,0,"Jefferson County, Ohio",65249,"Jefferson County, Ohio",5.609854063462311,0.2605403914236234,0
39,39111,0,2,1,0,"Monroe County, Ohio",13385,"Monroe County, Ohio",4.74160895045285,0.14942099364960776,0
39,39155,0,2,1,0,"Trumbull County, Ohio",201977,"Trumbull County, Ohio",4.8099716209448555,0.009902117567841883,0
42,42009,0,1,1,11,"Bedford County, Pennsylvania",47577,"Bedford County, Pennsylvania",4.464131374243734,0.02101855938793955,0
42,42059,0,2,1,11,"Greene County, Pennsylvania",35954,"Greene County, Pennsylvania",4.922491161272776,0.0556266340323747,0
42,42111,0,1,1,11,"Somerset County, Pennsylvania",74129,"Somerset County, Pennsylvania",4.836464857341684,0.013489997167100594,0
39,39009,0,2,1,0,"Athens County, Ohio",62431,"Athens County, Ohio",5.8420589098737645,0.03203536704521792,0
39,39049,0,1,1,0,"Franklin County, Ohio",1323807,"Franklin County, Ohio",4.847732720804598,7.553971235988328e-4,0
39,39053,0,45,1,0,"Gallia County, Ohio",29220,"Gallia County, Ohio",4.491597614806784,1.540041067761807,0
39,39069,0,1,1,0,"Henry County, Ohio",27662,"Henry County, Ohio",4.513888888888889,0.036150676017641534,0
39,39079,0,4,1,0,"Jackson County, Ohio",32653,"Jackson County, Ohio",6.902097433491925,0.12250022968793067,0
39,39087,3,100,1,0,"Lawrence County, Ohio",58240,"Lawrence County, Ohio",4.976665751598102,1.717032967032967,0.05151098901098901
39,39105,0,21,1,0,"Meigs County, Ohio",22210,"Meigs County, Ohio",8.32618945563652,0.9455200360198108,0
39,39167,1,19,1,0,"Washington County, Ohio",59771,"Washington County, Ohio",4.5581851281333146,0.31787990831674223,0.016730521490354856
26,26125,0,1,1,16,"Oakland County, Michigan",1274395,"Oakland County, Michigan",4.659781959708985,7.846860667218563e-4,0
42,42003,0,1,1,11,"Allegheny County, Pennsylvania",1250578,"Allegheny County, Pennsylvania",4.857972420798872,7.996302509719505e-4,0
26,26081,0,1,1,16,"Kent County, Michigan",657974,"Kent County, Michigan",4.598307918046698,0.0015198168924607962,0
42,42071,0,1,1,11,"Lancaster County, Pennsylvania",552984,"Lancaster County, Pennsylvania",3.61713889348577,0.0018083705857674,0
39,39061,0,3,1,0,"Hamilton County, Ohio",830639,"Hamilton County, Ohio",5.383129902889298,0.0036116772749654183,0
26,26001,0,14,1,16,"Alcona County, Michigan",10167,"Alcona County, Michigan",6.067114093959732,1.377004032654667,0
26,26007,5,57,1,16,"Alpena County, Michigan",28907,"Alpena County, Michigan",7.479601087941976,1.9718407306188812,0.17296848514200713
26,26011,0,35,1,16,"Arenac County, Michigan",15002,"Arenac County, Michigan",6.756131420638593,2.3330222636981737,0
26,26017,4,344,1,16,"Bay County, Michigan",103856,"Bay County, Michigan",5.9245313251081555,3.3122785395162535,0.03851486673856109
26,26025,0,1,1,16,"Calhoun County, Michigan",134310,"Calhoun County, Michigan",6.389471378047635,0.007445461990916536,0
26,26031,3,38,1,16,"Cheboygan County, Michigan",25579,"Cheboygan County, Michigan",7.4203678779721844,1.4855936510418704,0.11728370929277923
26,26035,1,91,1,16,"Clare County, Michigan",30856,"Clare County, Michigan",10.034235409194652,2.949183303085299,0.03240860772621208
26,26037,0,2,1,16,"Clinton County, Michigan",79128,"Clinton County, Michigan",3.422203553161523,0.025275502982509353,0
26,26039,1,28,1,16,"Crawford County, Michigan",12988,"Crawford County, Michigan",7.4249872859806745,2.15583615645211,0.0769941484447182
26,26049,36,2352,1,16,"Genesee County, Michigan",406211,"Genesee County, Michigan",8.936870179024865,5.790094310592278,0.08862389250906548
26,26051,0,63,1,16,"Gladwin County, Michigan",25386,"Gladwin County, Michigan",6.21929549493049,2.4816828173008747,0
26,26057,0,78,1,16,"Gratiot County, Michigan",41761,"Gratiot County, Michigan",4.805150017243362,1.8677713656282176,0
26,26059,0,1,1,16,"Hillsdale County, Michigan",45746,"Hillsdale County, Michigan",4.066279870193726,0.021859834739649368,0
